Atlético de Madrid
Antoine Griezmann, antoine.g@atletifake.com
Jan Oblak, jan.oblak@atletifake.com
Koke Resurrección, koke.r@atletifake.com
Rodrigo De Paul, rodrigo.dp@atletifake.com
Marcos Llorente, marcos.ll@atletifake.com
José María Giménez, jose.ma@atletifake.com
Samuel Lino, samuel.lino@atletifake.com
Alexander Sørloth, alex.s@atletifake.com
Nahuel Molina, nahuel.m@atletifake.com
Ángel Correa, angelito.c@atletifake.com
Axel Witsel, axel.w@atletifake.com
César Azpilicueta, cesar.a@atletifake.com
